Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,MutatedRate
ZNF429,1,0,0,0,9,0,0,0,0,10,10,10,0.01098901098901099
ZNF546,0,0,0,0,9,1,0,0,0,10,10,10,0.01098901098901099
ZNF711,0,0,0,0,10,0,0,0,0,10,10,10,0.01098901098901099
CEP126,0,0,0,0,13,0,0,0,0,13,9,9,0.00989010989010989
TET1,0,0,0,0,12,1,0,0,0,13,9,9,0.00989010989010989
CHD1,0,3,0,0,9,0,0,0,0,12,9,9,0.00989010989010989
NES,0,0,0,0,10,2,0,0,0,12,9,9,0.00989010989010989
PI4KA,0,0,0,0,12,0,0,0,0,12,9,9,0.00989010989010989
RALGAPA1,1,0,0,0,10,1,0,0,0,12,9,9,0.00989010989010989
TRAK2,0,0,0,0,10,1,0,0,1,12,9,9,0.00989010989010989
A2ML1,0,0,0,0,10,1,0,0,0,11,9,9,0.00989010989010989
ABCA5,0,0,0,0,11,0,0,0,0,11,9,9,0.00989010989010989
CAMSAP1,0,0,1,0,10,0,0,0,0,11,9,9,0.00989010989010989
CNKSR2,0,0,0,0,9,2,0,0,0,11,9,9,0.00989010989010989
COL4A3,0,0,0,0,11,0,0,0,0,11,9,9,0.00989010989010989
CPED1,0,1,0,0,10,0,0,0,0,11,9,9,0.00989010989010989
EFCAB13,0,0,0,0,9,0,0,1,1,11,9,9,0.00989010989010989
EPRS1,0,0,0,1,10,0,0,0,0,11,9,9,0.00989010989010989
FAM120C,0,0,0,0,9,2,0,0,0,11,9,9,0.00989010989010989
HEATR5A,0,0,0,0,10,1,0,0,0,11,9,9,0.00989010989010989
IPO8,0,1,0,0,8,1,0,1,0,11,9,9,0.00989010989010989
JADE3,0,0,0,0,9,1,0,1,0,11,9,9,0.00989010989010989
KCNH8,0,0,1,0,9,1,0,0,0,11,9,9,0.00989010989010989
KCNQ5,0,0,0,0,9,2,0,0,0,11,9,9,0.00989010989010989
KIAA1217,0,0,0,0,11,0,0,0,0,11,9,9,0.00989010989010989
PCDHA10,0,0,0,0,11,0,0,0,0,11,9,9,0.00989010989010989
PHLDB1,0,0,0,0,11,0,0,0,0,11,9,9,0.00989010989010989
RALGAPA2,2,0,0,0,7,2,0,0,0,11,9,9,0.00989010989010989
RPS6KA3,0,0,1,0,7,2,0,1,0,11,9,9,0.00989010989010989
SHROOM4,0,0,0,0,11,0,0,0,0,11,9,9,0.00989010989010989
SON,0,0,1,0,10,0,0,0,0,11,9,9,0.00989010989010989
TBL1XR1,1,4,1,0,2,2,0,0,1,11,9,9,0.00989010989010989
ABCA1,2,0,0,0,8,0,0,0,0,10,9,9,0.00989010989010989
ABCC10,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
ADCY10,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
ADGRL2,1,0,0,0,7,2,0,0,0,10,9,9,0.00989010989010989
ADGRL3,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
APP,0,0,0,0,8,1,0,1,0,10,9,9,0.00989010989010989
ASCC3,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
C5,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
CEP128,0,1,0,0,7,2,0,0,0,10,9,9,0.00989010989010989
CNTN3,1,0,0,0,7,1,0,1,0,10,9,9,0.00989010989010989
CNTN4,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
COBLL1,2,0,0,0,8,0,0,0,0,10,9,9,0.00989010989010989
COL24A1,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
DCAF1,0,0,0,0,8,2,0,0,0,10,9,9,0.00989010989010989
DENND1B,1,0,0,0,8,1,0,0,0,10,9,9,0.00989010989010989
DIP2B,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
DSCAM,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
ECPAS,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
EIF2AK4,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
ELMO1,0,0,0,0,8,2,0,0,0,10,9,9,0.00989010989010989
EPHB1,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
EPHB3,1,0,0,0,8,1,0,0,0,10,9,9,0.00989010989010989
FGD6,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
FRMPD1,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
GOLGA3,0,0,1,0,8,1,0,0,0,10,9,9,0.00989010989010989
GRID2,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
HEPHL1,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
IFT172,0,0,0,0,8,1,0,1,0,10,9,9,0.00989010989010989
IL1RL2,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
INO80D,0,0,0,0,7,3,0,0,0,10,9,9,0.00989010989010989
INSR,1,0,0,0,8,1,0,0,0,10,9,9,0.00989010989010989
INTS8,0,0,1,0,8,1,0,0,0,10,9,9,0.00989010989010989
KCNA1,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
KDM5A,0,1,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
KDR,1,1,0,0,8,0,0,0,0,10,9,9,0.00989010989010989
KIAA1549,0,0,0,0,8,2,0,0,0,10,9,9,0.00989010989010989
KIF21A,1,1,0,0,6,2,0,0,0,10,9,9,0.00989010989010989
KIF21B,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
KMT2B,3,0,0,0,5,2,0,0,0,10,9,9,0.00989010989010989
LRP6,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
MEP1A,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
MIB1,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
MROH5,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
MTHFD1,0,0,0,0,8,1,0,1,0,10,9,9,0.00989010989010989
MYH11,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
N4BP2,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
NCKAP1L,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
NLRP1,0,0,0,0,8,1,0,1,0,10,9,9,0.00989010989010989
NLRP7,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
NOTCH1,3,1,0,0,6,0,0,0,0,10,9,9,0.00989010989010989
NOTCH4,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
NUMA1,1,0,0,0,8,1,0,0,0,10,9,9,0.00989010989010989
NUP107,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
PARP9,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
PCARE,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
PCNX1,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
PDE5A,0,0,0,0,8,2,0,0,0,10,9,9,0.00989010989010989
PEAK1,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
PKN2,0,0,1,0,7,2,0,0,0,10,9,9,0.00989010989010989
PPARGC1A,0,0,0,0,8,2,0,0,0,10,9,9,0.00989010989010989
PTPRC,0,0,0,0,8,2,0,0,0,10,9,9,0.00989010989010989
PTPRZ1,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
RESF1,0,0,0,0,8,2,0,0,0,10,9,9,0.00989010989010989
ROBO2,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
RTTN,0,0,0,0,7,1,0,2,0,10,9,9,0.00989010989010989
SEMA3C,0,0,1,0,8,1,0,0,0,10,9,9,0.00989010989010989
SEMA5A,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
SHPRH,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
SMC1A,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
SORCS1,0,0,0,0,6,3,0,1,0,10,9,9,0.00989010989010989
TLR3,1,0,0,0,9,0,0,0,0,10,9,9,0.00989010989010989
TTC21A,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
UBE3C,0,0,0,0,8,0,0,2,0,10,9,9,0.00989010989010989
UNC13B,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
USO1,1,0,0,0,8,1,0,0,0,10,9,9,0.00989010989010989
VCAM1,0,0,0,0,8,1,0,1,0,10,9,9,0.00989010989010989
VPS8,0,0,0,0,10,0,0,0,0,10,9,9,0.00989010989010989
ZKSCAN7,0,0,0,0,9,1,0,0,0,10,9,9,0.00989010989010989
ZNF638,0,0,0,0,8,1,0,1,0,10,9,9,0.00989010989010989
ZSWIM8,1,0,0,0,8,0,1,0,0,10,9,9,0.00989010989010989
ZZEF1,0,0,0,0,6,2,0,2,0,10,9,9,0.00989010989010989
ABCC4,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
ACTN2,2,0,0,0,5,1,0,1,0,9,9,9,0.00989010989010989
ACTN4,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
ADAM21,2,0,0,0,7,0,0,0,0,9,9,9,0.00989010989010989
ADCY2,0,0,0,0,8,0,0,1,0,9,9,9,0.00989010989010989
ADGRB1,1,1,0,0,7,0,0,0,0,9,9,9,0.00989010989010989
AGBL1,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
ANO5,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
APBA1,0,0,0,0,6,3,0,0,0,9,9,9,0.00989010989010989
ARHGEF40,1,1,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
ATF6,0,1,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
ATP1A1,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
ATP2A1,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
ATXN1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
BAZ2A,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
BCAN,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
CASK,0,0,0,0,7,1,0,0,1,9,9,9,0.00989010989010989
CCDC136,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
CCPG1,1,0,0,0,5,2,0,0,1,9,9,9,0.00989010989010989
CDC5L,1,0,0,0,5,1,0,2,0,9,9,9,0.00989010989010989
CDK5RAP2,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
CEP72,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
CFAP44,1,1,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
CFAP74,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
CHD1L,0,1,0,0,7,0,0,1,0,9,9,9,0.00989010989010989
CHGB,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
COL2A1,1,0,0,0,5,1,0,2,0,9,9,9,0.00989010989010989
COL5A2,0,0,0,0,8,0,0,1,0,9,9,9,0.00989010989010989
CUL9,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
CUX1,1,0,0,0,6,1,0,1,0,9,9,9,0.00989010989010989
DAPK1,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
DCAF6,0,0,0,0,6,1,1,1,0,9,9,9,0.00989010989010989
DCAF8L1,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
DDR2,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
DGKD,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
DIAPH2,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
DLGAP2,1,0,0,0,6,2,0,0,0,9,9,9,0.00989010989010989
DMGDH,0,0,0,0,6,2,0,1,0,9,9,9,0.00989010989010989
DOP1A,0,0,0,0,6,3,0,0,0,9,9,9,0.00989010989010989
DSG4,0,0,1,0,7,1,0,0,0,9,9,9,0.00989010989010989
DYNC1I1,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
EEF1A1,1,1,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
EFCAB6,0,0,0,0,8,0,0,1,0,9,9,9,0.00989010989010989
EHBP1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
EPC1,1,0,0,0,6,1,0,1,0,9,9,9,0.00989010989010989
ESR1,1,0,1,0,6,1,0,0,0,9,9,9,0.00989010989010989
FAM171B,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
FAM193A,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
FAM47B,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
FANCI,0,0,0,0,8,0,0,1,0,9,9,9,0.00989010989010989
FMO1,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
FNDC3A,1,0,1,0,6,0,0,1,0,9,9,9,0.00989010989010989
FRMPD2,0,1,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
GCN1,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
GPC5,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
GRM1,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
GRM8,0,0,0,0,6,2,0,1,0,9,9,9,0.00989010989010989
GSE1,2,0,0,0,7,0,0,0,0,9,9,9,0.00989010989010989
HIVEP2,1,1,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
IL4R,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
IMPG1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
INPPL1,1,0,0,0,6,2,0,0,0,9,9,9,0.00989010989010989
ITGA1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
ITGB4,2,1,0,0,6,0,0,0,0,9,9,9,0.00989010989010989
KCNA5,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
KCNH6,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
KCNH7,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
KCNQ2,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
KCNQ3,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
KCTD3,2,0,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
KDM3A,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
KDM4C,2,0,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
KIAA0100,1,0,1,0,7,0,0,0,0,9,9,9,0.00989010989010989
KIDINS220,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
KIF1A,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
KIF5B,1,0,1,0,5,2,0,0,0,9,9,9,0.00989010989010989
KLHL4,0,1,0,0,6,1,0,1,0,9,9,9,0.00989010989010989
KNL1,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
LAMA5,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
LAMB1,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
LCA5L,0,1,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
LRP12,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
MCM7,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
MERTK,2,0,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
MID1,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
MUC6,1,0,0,0,6,2,0,0,0,9,9,9,0.00989010989010989
MUSK,1,1,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
MYO5A,0,0,0,0,6,3,0,0,0,9,9,9,0.00989010989010989
NBEAL2,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
NCAN,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
NDUFS1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
NEDD4L,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
NPR2,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
NRDC,1,0,0,0,7,0,0,1,0,9,9,9,0.00989010989010989
NRIP1,1,2,0,0,5,1,0,0,0,9,9,9,0.00989010989010989
NUAK1,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
NUP153,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
OGDH,0,1,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
OPA1,0,0,1,0,5,3,0,0,0,9,9,9,0.00989010989010989
ORC2,0,0,0,0,6,3,0,0,0,9,9,9,0.00989010989010989
P3H2,0,0,0,0,6,2,0,1,0,9,9,9,0.00989010989010989
PAXBP1,1,0,1,0,5,1,0,1,0,9,9,9,0.00989010989010989
PCDHA3,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
PCDHA6,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
PCDHGA12,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
PCDHGA2,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
PEX1,0,1,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
PHF12,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
PKD1,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
PLCG1,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
PLK2,3,0,2,0,3,1,0,0,0,9,9,9,0.00989010989010989
PRDM1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
PRDM2,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
PRKG2,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
PRPF4B,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
PRPF8,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
PRX,0,1,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
PSMD1,1,1,0,0,7,0,0,0,0,9,9,9,0.00989010989010989
PTK2,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
PTPRU,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
PUM2,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
PYHIN1,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
RAPGEF1,1,0,1,0,7,0,0,0,0,9,9,9,0.00989010989010989
RBM25,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
RFX3,1,0,0,0,7,0,0,1,0,9,9,9,0.00989010989010989
RICTOR,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
RNF43,4,0,0,0,4,1,0,0,0,9,9,9,0.00989010989010989
RP1L1,0,0,1,0,6,2,0,0,0,9,9,9,0.00989010989010989
RPTN,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
RREB1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
RUBCN,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SCAPER,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SCLT1,2,0,0,0,7,0,0,0,0,9,9,9,0.00989010989010989
SEL1L3,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SEMA4D,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
SETBP1,1,0,1,0,7,0,0,0,0,9,9,9,0.00989010989010989
SH3PXD2A,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
SIPA1L1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SLC24A4,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SLC39A12,0,0,0,0,6,3,0,0,0,9,9,9,0.00989010989010989
SLC4A4,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SLMAP,0,0,0,1,7,1,0,0,0,9,9,9,0.00989010989010989
SMAD4,2,0,0,0,4,3,0,0,0,9,9,9,0.00989010989010989
SMARCA1,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
SMARCC1,1,1,0,0,7,0,0,0,0,9,9,9,0.00989010989010989
SORCS3,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
SOX6,0,1,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
SP100,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
SPAG9,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SPEG,1,0,1,0,7,0,0,0,0,9,9,9,0.00989010989010989
SPIDR,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SPTBN4,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
STAB1,1,0,0,0,4,1,0,3,0,9,9,9,0.00989010989010989
STAT5A,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
STK31,0,0,0,0,8,0,0,1,0,9,9,9,0.00989010989010989
SUGP1,1,0,0,0,7,0,0,0,1,9,9,9,0.00989010989010989
SUPT6H,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
SYMPK,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
TBC1D8B,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
TCF20,2,0,1,0,6,0,0,0,0,9,9,9,0.00989010989010989
TDRD5,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
TEX14,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
THAP12,0,0,2,0,6,1,0,0,0,9,9,9,0.00989010989010989
THSD4,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
TIAM2,0,0,1,0,7,0,0,1,0,9,9,9,0.00989010989010989
TINAG,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
TLR8,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
TMEM94,0,2,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
TNKS1BP1,1,0,1,0,5,1,0,1,0,9,9,9,0.00989010989010989
TRDN,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
TRHDE,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
TRIOBP,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
TRO,1,0,0,0,7,0,0,1,0,9,9,9,0.00989010989010989
TRPC6,2,0,0,0,6,0,0,1,0,9,9,9,0.00989010989010989
TTLL4,0,0,0,0,7,2,0,0,0,9,9,9,0.00989010989010989
UBE4B,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
UBN2,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
UMODL1,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
USP53,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
WWP1,0,0,0,0,7,1,0,1,0,9,9,9,0.00989010989010989
XIRP1,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
YEATS2,0,0,0,0,9,0,0,0,0,9,9,9,0.00989010989010989
ZBED4,1,0,0,0,7,1,0,0,0,9,9,9,0.00989010989010989
ZBTB41,2,0,0,0,6,1,0,0,0,9,9,9,0.00989010989010989
ZEB1,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
ZFC3H1,0,0,1,0,6,2,0,0,0,9,9,9,0.00989010989010989
ZNF407,1,0,0,0,8,0,0,0,0,9,9,9,0.00989010989010989
ZNF41,0,0,0,0,7,1,1,0,0,9,9,9,0.00989010989010989
ZNF540,0,0,1,0,8,0,0,0,0,9,9,9,0.00989010989010989
ZNF648,0,0,0,0,8,1,0,0,0,9,9,9,0.00989010989010989
ZNF804B,0,2,0,0,7,0,0,0,0,9,9,9,0.00989010989010989
CACNA1G,0,0,0,0,11,1,0,0,0,12,8,8,0.008791208791208791
CACNA2D1,0,0,1,0,9,0,0,1,0,11,8,8,0.008791208791208791
CCDC180,1,0,0,0,9,1,0,0,0,11,8,8,0.008791208791208791
CLIP1,1,0,0,0,8,2,0,0,0,11,8,8,0.008791208791208791
OGT,0,0,1,0,10,0,0,0,0,11,8,8,0.008791208791208791
OXR1,0,1,0,0,9,1,0,0,0,11,8,8,0.008791208791208791
RAD50,2,0,0,0,8,0,0,1,0,11,8,8,0.008791208791208791
TEK,1,0,0,0,10,0,0,0,0,11,8,8,0.008791208791208791
ZHX2,0,0,0,0,10,1,0,0,0,11,8,8,0.008791208791208791
ADAM12,0,0,1,0,9,0,0,0,0,10,8,8,0.008791208791208791
ADD2,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
ARHGEF12,1,0,0,0,8,1,0,0,0,10,8,8,0.008791208791208791
ATP13A3,0,1,0,0,8,0,0,1,0,10,8,8,0.008791208791208791
ATP2B4,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
CATSPERE,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
CRYBG1,1,0,0,0,8,1,0,0,0,10,8,8,0.008791208791208791
DDX60,1,0,0,0,8,1,0,0,0,10,8,8,0.008791208791208791
DHX57,1,0,0,0,9,0,0,0,0,10,8,8,0.008791208791208791
DOP1B,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
FILIP1,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
IGF1R,1,0,0,0,9,0,0,0,0,10,8,8,0.008791208791208791
ITGA6,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
LARP4B,1,1,0,0,5,3,0,0,0,10,8,8,0.008791208791208791
LILRA1,0,0,0,0,8,1,0,1,0,10,8,8,0.008791208791208791
LRGUK,2,0,0,0,5,2,0,1,0,10,8,8,0.008791208791208791
MYO1H,1,0,1,0,7,1,0,0,0,10,8,8,0.008791208791208791
MYO3B,0,0,0,0,8,2,0,0,0,10,8,8,0.008791208791208791
NELL1,0,0,0,0,8,1,0,1,0,10,8,8,0.008791208791208791
NEUROD6,1,0,0,0,9,0,0,0,0,10,8,8,0.008791208791208791
PARP8,0,0,0,0,7,2,0,1,0,10,8,8,0.008791208791208791
PIK3R4,0,0,1,0,9,0,0,0,0,10,8,8,0.008791208791208791
PLCZ1,1,1,0,0,6,1,0,1,0,10,8,8,0.008791208791208791
ROCK1,1,0,0,0,8,1,0,0,0,10,8,8,0.008791208791208791
SHANK2,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
SLITRK4,0,0,0,0,7,3,0,0,0,10,8,8,0.008791208791208791
SPEF2,1,0,0,0,6,2,0,1,0,10,8,8,0.008791208791208791
TNS3,0,0,0,0,10,0,0,0,0,10,8,8,0.008791208791208791
TTC3,0,0,0,0,9,1,0,0,0,10,8,8,0.008791208791208791
TUT4,0,0,0,0,7,1,0,2,0,10,8,8,0.008791208791208791
UACA,1,0,0,0,7,2,0,0,0,10,8,8,0.008791208791208791
USP32,1,0,0,0,9,0,0,0,0,10,8,8,0.008791208791208791
USPL1,3,0,0,0,7,0,0,0,0,10,8,8,0.008791208791208791
ZCWPW1,0,0,0,0,10,0,0,0,0,10,8,8,0.008791208791208791
ZNF528,0,0,0,0,7,3,0,0,0,10,8,8,0.008791208791208791
ZNF608,1,0,1,0,8,0,0,0,0,10,8,8,0.008791208791208791
ABCC8,0,0,0,0,8,0,0,1,0,9,8,8,0.008791208791208791
ACSS3,1,0,0,0,7,0,0,1,0,9,8,8,0.008791208791208791
ADCY7,0,0,0,0,9,0,0,0,0,9,8,8,0.008791208791208791
AMBRA1,2,0,0,0,4,2,0,1,0,9,8,8,0.008791208791208791
ARHGEF6,0,0,0,0,9,0,0,0,0,9,8,8,0.008791208791208791
ASIC3,0,0,0,0,8,1,0,0,0,9,8,8,0.008791208791208791
ATG2A,1,0,0,0,6,1,0,1,0,9,8,8,0.008791208791208791
